年月日,南さつま市,金峰町大野,徳之島町,和泊町,鹿屋市,長島町,根占町,西之表市
2024/1/1,8.8,8.8,15.6,17.1,7.8,8.6,6.9,12.4
2024/1/2,8.7,8.7,15.6,17,7.8,8.5,6.8,12.3
2024/1/3,8.7,8.7,15.6,17,7.8,8.5,6.8,12.3
2024/1/4,8.7,8.7,15.6,17,7.7,8.4,6.8,12.2
2024/1/5,8.7,8.7,15.5,16.9,7.7,8.4,6.8,12.2
2024/1/6,8.6,8.6,15.5,16.9,7.7,8.3,6.8,12.1
2024/1/7,8.6,8.6,15.5,16.9,7.7,8.3,6.8,12.1
2024/1/8,8.6,8.6,15.5,16.8,7.7,8.2,6.8,12
2024/1/9,8.6,8.6,15.4,16.8,7.7,8.2,6.8,12
2024/1/10,8.5,8.5,15.4,16.8,7.7,8.1,6.8,11.9
2024/1/11,8.5,8.5,15.4,16.7,7.6,8.1,6.8,11.9
2024/1/12,8.4,8.4,15.3,16.7,7.6,8,6.7,11.8
2024/1/13,8.4,8.4,15.3,16.7,7.6,7.9,6.7,11.8
2024/1/14,8.3,8.3,15.3,16.6,7.6,7.9,6.7,11.7
2024/1/15,8.3,8.3,15.3,16.6,7.5,7.9,6.6,11.7
2024/1/16,8.2,8.2,15.2,16.5,7.5,7.8,6.6,11.6
2024/1/17,8.2,8.2,15.2,16.5,7.5,7.8,6.6,11.6
2024/1/18,8.2,8.2,15.2,16.5,7.4,7.7,6.6,11.5
2024/1/19,8.1,8.1,15.1,16.4,7.4,7.7,6.5,11.5
2024/1/20,8.1,8.1,15.1,16.3,7.4,7.7,6.5,11.5
2024/1/21,8.1,8.1,15,16.3,7.3,7.6,6.4,11.4
2024/1/22,8,8,15,16.2,7.3,7.6,6.4,11.4
2024/1/23,8,8,14.9,16.2,7.3,7.6,6.4,11.3
2024/1/24,8,8,14.8,16.1,7.2,7.5,6.3,11.3
2024/1/25,8,8,14.8,16,7.2,7.5,6.3,11.3
2024/1/26,8,8,14.7,16,7.2,7.5,6.3,11.2
2024/1/27,8,8,14.7,16,7.2,7.5,6.3,11.2
2024/1/28,8,8,14.7,16,7.2,7.5,6.3,11.2
2024/1/29,8,8,14.7,15.9,7.2,7.5,6.3,11.2
2024/1/30,8,8,14.7,15.9,7.3,7.5,6.3,11.3
2024/1/31,8,8,14.7,15.9,7.3,7.6,6.3,11.3
2024/2/1,8,8,14.7,16,7.4,7.6,6.4,11.3
2024/2/2,8.1,8.1,14.7,16,7.4,7.6,6.4,11.4
2024/2/3,8.1,8.1,14.7,16,7.5,7.7,6.5,11.4
2024/2/4,8.2,8.2,14.8,16,7.6,7.7,6.6,11.5
2024/2/5,8.3,8.3,14.8,16.1,7.7,7.8,6.6,11.5
2024/2/6,8.4,8.4,14.8,16.1,7.8,7.9,6.7,11.6
2024/2/7,8.5,8.5,14.9,16.1,7.9,8,6.9,11.7
2024/2/8,8.6,8.6,15,16.2,8,8.1,7,11.8
2024/2/9,8.7,8.7,15,16.3,8.1,8.2,7.1,11.9
2024/2/10,8.8,8.8,15.1,16.3,8.2,8.3,7.2,11.9
2024/2/11,8.9,8.9,15.2,16.4,8.4,8.4,7.3,12
2024/2/12,9,9,15.3,16.5,8.5,8.5,7.5,12.1
2024/2/13,9.1,9.1,15.4,16.5,8.6,8.5,7.6,12.2
2024/2/14,9.2,9.2,15.4,16.6,8.7,8.6,7.7,12.2
2024/2/15,9.3,9.3,15.5,16.6,8.8,8.7,7.8,12.3
2024/2/16,9.4,9.4,15.6,16.7,8.9,8.8,7.9,12.3
2024/2/17,9.5,9.5,15.7,16.8,9,8.9,8,12.4
2024/2/18,9.6,9.6,15.7,16.8,9.1,9,8.1,12.5
2024/2/19,9.7,9.7,15.8,16.9,9.2,9.1,8.2,12.5
2024/2/20,9.8,9.8,15.9,16.9,9.3,9.2,8.3,12.6
2024/2/21,9.9,9.9,15.9,17,9.5,9.3,8.4,12.7
2024/2/22,10.1,10.1,16,17,9.6,9.4,8.6,12.8
2024/2/23,10.2,10.2,16.1,17.1,9.7,9.5,8.7,12.9
2024/2/24,10.3,10.3,16.1,17.1,9.8,9.7,8.8,13
2024/2/25,10.4,10.4,16.2,17.2,10,9.8,9,13.1
2024/2/26,10.5,10.5,16.2,17.2,10.1,9.9,9.1,13.2
2024/2/27,10.6,10.6,16.3,17.3,10.2,10,9.2,13.3
2024/2/28,10.7,10.7,16.3,17.3,10.2,10.1,9.3,13.3
2024/2/29,10.8,10.8,16.3,17.3,10.3,10.2,9.3,13.4
2024/3/1,10.8,10.8,16.3,17.3,10.3,10.2,9.3,13.4
2024/3/2,10.9,10.9,16.3,17.4,10.4,10.2,9.4,13.5
2024/3/3,10.9,10.9,16.3,17.4,10.4,10.3,9.4,13.5
2024/3/4,11,11,16.4,17.4,10.5,10.4,9.5,13.5
2024/3/5,11,11,16.4,17.4,10.5,10.4,9.5,13.6
2024/3/6,11.1,11.1,16.4,17.4,10.6,10.5,9.6,13.6
2024/3/7,11.2,11.2,16.4,17.4,10.6,10.6,9.6,13.7
2024/3/8,11.2,11.2,16.5,17.5,10.7,10.7,9.7,13.7
2024/3/9,11.3,11.3,16.5,17.5,10.8,10.8,9.8,13.8
2024/3/10,11.5,11.5,16.6,17.6,11,10.9,9.9,13.9
2024/3/11,11.6,11.6,16.7,17.7,11.1,11,10,14
2024/3/12,11.7,11.7,16.9,17.8,11.2,11.1,10.2,14.1
2024/3/13,11.9,11.9,17,17.9,11.4,11.3,10.3,14.2
2024/3/14,12,12,17.1,18,11.6,11.4,10.5,14.3
2024/3/15,12.2,12.2,17.2,18.1,11.7,11.6,10.6,14.5
2024/3/16,12.3,12.3,17.4,18.3,11.9,11.7,10.8,14.6
2024/3/17,12.5,12.5,17.5,18.4,12.1,11.8,11,14.7
2024/3/18,12.6,12.6,17.6,18.5,12.2,11.9,11.1,14.8
2024/3/19,12.7,12.7,17.7,18.5,12.3,12,11.2,14.9
2024/3/20,12.8,12.8,17.7,18.6,12.4,12.1,11.3,15
2024/3/21,12.9,12.9,17.8,18.7,12.5,12.2,11.4,15.1
2024/3/22,13,13,17.9,18.7,12.6,12.3,11.5,15.2
2024/3/23,13.1,13.1,17.9,18.8,12.7,12.4,11.6,15.2
2024/3/24,13.2,13.2,17.9,18.8,12.8,12.5,11.7,15.3
2024/3/25,13.3,13.3,18,18.8,12.9,12.6,11.8,15.4
2024/3/26,13.4,13.4,18,18.9,13,12.7,11.9,15.5
2024/3/27,13.5,13.5,18.1,18.9,13.1,12.8,12,15.6
2024/3/28,13.6,13.6,18.1,19,13.3,12.9,12.1,15.7
2024/3/29,13.8,13.8,18.2,19,13.4,13.1,12.3,15.8
2024/3/30,13.9,13.9,18.2,19.1,13.6,13.3,12.4,16
2024/3/31,14.1,14.1,18.3,19.1,13.8,13.4,12.6,16.1
2024/4/1,14.3,14.3,18.4,19.2,14,13.6,12.8,16.2
2024/4/2,14.4,14.4,18.5,19.3,14.2,13.8,13,16.4
2024/4/3,14.6,14.6,18.6,19.3,14.3,14,13.2,16.5
2024/4/4,14.8,14.8,18.6,19.4,14.5,14.2,13.3,16.6
2024/4/5,14.9,14.9,18.7,19.5,14.7,14.3,13.5,16.8
2024/4/6,15.1,15.1,18.8,19.6,14.9,14.5,13.7,16.9
2024/4/7,15.2,15.2,18.9,19.7,15,14.6,13.8,17
2024/4/8,15.3,15.3,19,19.8,15.1,14.8,13.9,17.1
2024/4/9,15.5,15.5,19.1,19.8,15.3,14.9,14.1,17.2
2024/4/10,15.6,15.6,19.2,19.9,15.4,15,14.2,17.3
2024/4/11,15.7,15.7,19.3,20,15.5,15.1,14.3,17.4
2024/4/12,15.8,15.8,19.4,20.1,15.6,15.3,14.4,17.4
2024/4/13,16,16,19.5,20.2,15.7,15.4,14.5,17.5
2024/4/14,16.1,16.1,19.6,20.3,15.8,15.5,14.7,17.6
2024/4/15,16.2,16.2,19.7,20.4,16,15.6,14.8,17.7
2024/4/16,16.4,16.4,19.9,20.6,16.1,15.8,14.9,17.8
2024/4/17,16.5,16.5,20,20.7,16.2,15.9,15.1,18
2024/4/18,16.6,16.6,20.1,20.8,16.4,16,15.2,18.1
2024/4/19,16.8,16.8,20.2,20.9,16.5,16.2,15.3,18.2
2024/4/20,16.9,16.9,20.3,21,16.6,16.3,15.5,18.3
2024/4/21,17,17,20.4,21.1,16.8,16.4,15.6,18.4
2024/4/22,17.2,17.2,20.5,21.1,16.9,16.6,15.7,18.5
2024/4/23,17.3,17.3,20.5,21.2,17,16.7,15.9,18.6
2024/4/24,17.4,17.4,20.6,21.3,17.1,16.8,16,18.7
2024/4/25,17.5,17.5,20.7,21.3,17.3,17,16.1,18.8
2024/4/26,17.7,17.7,20.8,21.4,17.4,17.1,16.2,19
2024/4/27,17.8,17.8,20.8,21.5,17.6,17.2,16.4,19.1
2024/4/28,17.9,17.9,20.9,21.6,17.7,17.4,16.5,19.2
2024/4/29,18.1,18.1,21,21.7,17.9,17.6,16.7,19.4
2024/4/30,18.2,18.2,21.1,21.8,18.1,17.7,16.9,19.5
2024/5/1,18.4,18.4,21.2,21.9,18.2,17.9,17,19.6
2024/5/2,18.6,18.6,21.4,22,18.4,18,17.2,19.8
2024/5/3,18.7,18.7,21.5,22.1,18.6,18.2,17.4,19.9
2024/5/4,18.9,18.9,21.6,22.2,18.8,18.3,17.5,20
2024/5/5,19,19,21.7,22.3,18.9,18.5,17.7,20.2
2024/5/6,19.1,19.1,21.9,22.4,19.1,18.6,17.8,20.3
2024/5/7,19.2,19.2,22,22.5,19.2,18.7,18,20.4
2024/5/8,19.4,19.4,22.1,22.6,19.3,18.8,18.1,20.5
2024/5/9,19.5,19.5,22.2,22.7,19.4,18.9,18.2,20.6
2024/5/10,19.6,19.6,22.3,22.8,19.5,19,18.3,20.7
2024/5/11,19.7,19.7,22.4,22.8,19.6,19.1,18.4,20.8
2024/5/12,19.8,19.8,22.4,22.9,19.7,19.2,18.5,20.9
2024/5/13,19.8,19.8,22.5,23,19.8,19.2,18.6,21
2024/5/14,19.9,19.9,22.6,23,19.9,19.3,18.7,21.1
2024/5/15,20,20,22.6,23.1,19.9,19.4,18.8,21.1
2024/5/16,20.1,20.1,22.7,23.1,20,19.5,18.8,21.2
2024/5/17,20.2,20.2,22.7,23.2,20.1,19.6,18.9,21.3
2024/5/18,20.3,20.3,22.8,23.2,20.2,19.7,19,21.3
2024/5/19,20.3,20.3,22.8,23.3,20.2,19.8,19.1,21.4
